"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Giannis Antetokounmpo","Mil","F","30.1","32","35","36.4","14.2","335","0.588","649","0.615","25","0.16","0.601","0.613","31.5","11.9","6.2","0.8","1.5","3.5","43.3","37.7","49.5","15.1","118.1","104.4"
"","Shai Gilgeous-Alexander","Okc","G","26.5","39","34.4","33.9","11.5","315","0.895","592","0.593","225","0.356","0.576","0.64","31.4","5.5","5.9","2","1.1","2.7","36.8","37.3","42.8","11.7","125.4","101.9"
"","Nikola Jokic","Den","C","29.9","34","36.9","30.8","13","220","0.8","559","0.578","154","0.474","0.607","0.643","30.6","13.2","9.9","1.8","0.6","3.1","43.8","40.5","53.6","17.2","130.5","106.5"
"","LaMelo Ball","Cha","G","23.4","25","34","38.3","13.6","138","0.833","284","0.514","330","0.339","0.511","0.551","29.7","5.4","7.4","1.4","0.2","3.9","35.2","37.1","42.6","12.5","111","106"
"","Paolo Banchero","Orl","F","22.2","7","33.7","33.5","13.7","80","0.675","84","0.56","42","0.405","0.575","0.617","28.4","8.4","5.3","0.7","0.9","2.9","36.9","33.7","42.1","12.8","120.7","104"
"","Luka Doncic","Dal","F-G","25.9","22","35.7","32.9","13.9","146","0.767","254","0.555","212","0.354","0.544","0.584","28.1","8.3","7.8","2","0.4","3.4","36.5","36","44.3","13.7","116","105.2"
"","Jayson Tatum","Bos","F-G","26.9","36","36.4","31.1","12.4","252","0.802","357","0.569","373","0.359","0.553","0.601","28.1","9.4","5.3","1.3","0.5","2.9","37.4","33.4","42.8","12.3","118.4","103.8"
"","Kevin Durant","Pho","F","36.3","29","36.3","30.4","14.9","188","0.835","380","0.584","164","0.384","0.582","0.63","27.2","6.4","4.2","0.8","1.3","3.3","33.7","31.5","37.9","9.9","114.3","115"
"","De'Aaron Fox","Sac","G","27.1","37","37.2","30.1","13.9","218","0.807","512","0.559","237","0.325","0.536","0.579","26.5","5.2","6.1","1.5","0.4","3.3","31.7","32.5","37.8","10.1","113.2","109.6"
"","Anthony Davis","Lal","F-C","31.9","35","34.9","29.9","11.3","284","0.782","547","0.556","81","0.321","0.546","0.603","25.9","11.9","3.5","1.3","2.1","2.3","37.8","29.4","41.3","11.8","120.3","108.9"
"","Tyrese Maxey","Phi","G","24.2","31","37.4","30.5","10.7","185","0.843","350","0.494","295","0.336","0.498","0.55","25.8","3.4","5.8","2.1","0.4","2.5","29.2","31.6","35","8.5","111.6","110.8"
