Zonas turísticas;País de residencia;Meses;Total
Andalucía: Costa de Almería;Total;Total;1.294.171
Andalucía: Costa de Almería;Total;Enero;27.727
Andalucía: Costa de Almería;Total;Febrero;44.412
Andalucía: Costa de Almería;Total;Marzo;49.840
Andalucía: Costa de Almería;Total;Abril;83.115
Andalucía: Costa de Almería;Total;Mayo;112.629
Andalucía: Costa de Almería;Total;Junio;178.462
Andalucía: Costa de Almería;Total;Julio;218.425
Andalucía: Costa de Almería;Total;Agosto;236.344
Andalucía: Costa de Almería;Total;Septiembre;170.344
Andalucía: Costa de Almería;Total;Octubre;89.901
Andalucía: Costa de Almería;Total;Noviembre;45.009
Andalucía: Costa de Almería;Total;Diciembre;37.964
Andalucía: Costa de Almería;Residentes en España;Total;1.036.371
Andalucía: Costa de Almería;Residentes en España;Enero;19.413
Andalucía: Costa de Almería;Residentes en España;Febrero;34.974
Andalucía: Costa de Almería;Residentes en España;Marzo;37.823
Andalucía: Costa de Almería;Residentes en España;Abril;65.453
Andalucía: Costa de Almería;Residentes en España;Mayo;85.762
Andalucía: Costa de Almería;Residentes en España;Junio;148.169
Andalucía: Costa de Almería;Residentes en España;Julio;181.670
Andalucía: Costa de Almería;Residentes en España;Agosto;197.626
Andalucía: Costa de Almería;Residentes en España;Septiembre;137.305
Andalucía: Costa de Almería;Residentes en España;Octubre;65.403
Andalucía: Costa de Almería;Residentes en España;Noviembre;33.637
Andalucía: Costa de Almería;Residentes en España;Diciembre;29.137
Andalucía: Costa de Almería;No residentes en España;Total;257.800
Andalucía: Costa de Almería;No residentes en España;Enero;8.314
Andalucía: Costa de Almería;No residentes en España;Febrero;9.438
Andalucía: Costa de Almería;No residentes en España;Marzo;12.017
Andalucía: Costa de Almería;No residentes en España;Abril;17.662
Andalucía: Costa de Almería;No residentes en España;Mayo;26.867
Andalucía: Costa de Almería;No residentes en España;Junio;30.293
Andalucía: Costa de Almería;No residentes en España;Julio;36.755
Andalucía: Costa de Almería;No residentes en España;Agosto;38.719
Andalucía: Costa de Almería;No residentes en España;Septiembre;33.039
Andalucía: Costa de Almería;No residentes en España;Octubre;24.498
Andalucía: Costa de Almería;No residentes en España;Noviembre;11.372
Andalucía: Costa de Almería;No residentes en España;Diciembre;8.827
Andalucía: Costa de Almería;Unión Europea 27 (sin España);Total;133.215
Andalucía: Costa de Almería;Unión Europea 27 (sin España);Enero;3.943
Andalucía: Costa de Almería;Unión Europea 27 (sin España);Febrero;4.766
Andalucía: Costa de Almería;Unión Europea 27 (sin España);Marzo;6.130
Andalucía: Costa de Almería;Unión Europea 27 (sin España);Abril;9.622
Andalucía: Costa de Almería;Unión Europea 27 (sin España);Mayo;12.553
Andalucía: Costa de Almería;Unión Europea 27 (sin España);Junio;14.924
Andalucía: Costa de Almería;Unión Europea 27 (sin España);Julio;20.345
Andalucía: Costa de Almería;Unión Europea 27 (sin España);Agosto;22.103
Andalucía: Costa de Almería;Unión Europea 27 (sin España);Septiembre;16.113
Andalucía: Costa de Almería;Unión Europea 27 (sin España);Octubre;12.032
Andalucía: Costa de Almería;Unión Europea 27 (sin España);Noviembre;6.037
Andalucía: Costa de Almería;Unión Europea 27 (sin España);Diciembre;4.646
Andalucía: Costa de Almería;Alemania;Total;16.098
Andalucía: Costa de Almería;Alemania;Enero;909
Andalucía: Costa de Almería;Alemania;Febrero;701
Andalucía: Costa de Almería;Alemania;Marzo;1.251
Andalucía: Costa de Almería;Alemania;Abril;1.514
Andalucía: Costa de Almería;Alemania;Mayo;1.617
Andalucía: Costa de Almería;Alemania;Junio;1.638
Andalucía: Costa de Almería;Alemania;Julio;1.367
Andalucía: Costa de Almería;Alemania;Agosto;1.427
Andalucía: Costa de Almería;Alemania;Septiembre;1.938
Andalucía: Costa de Almería;Alemania;Octubre;1.694
Andalucía: Costa de Almería;Alemania;Noviembre;1.055
Andalucía: Costa de Almería;Alemania;Diciembre;988
Andalucía: Costa de Almería;Austria;Total;1.500
Andalucía: Costa de Almería;Austria;Enero;22
Andalucía: Costa de Almería;Austria;Febrero;97
Andalucía: Costa de Almería;Austria;Marzo;46
Andalucía: Costa de Almería;Austria;Abril;104
Andalucía: Costa de Almería;Austria;Mayo;167
Andalucía: Costa de Almería;Austria;Junio;171
Andalucía: Costa de Almería;Austria;Julio;289
Andalucía: Costa de Almería;Austria;Agosto;198
Andalucía: Costa de Almería;Austria;Septiembre;145
Andalucía: Costa de Almería;Austria;Octubre;148
Andalucía: Costa de Almería;Austria;Noviembre;52
Andalucía: Costa de Almería;Austria;Diciembre;61
Andalucía: Costa de Almería;Bélgica;Total;15.505
Andalucía: Costa de Almería;Bélgica;Enero;207
Andalucía: Costa de Almería;Bélgica;Febrero;259
Andalucía: Costa de Almería;Bélgica;Marzo;649
Andalucía: Costa de Almería;Bélgica;Abril;1.317
Andalucía: Costa de Almería;Bélgica;Mayo;1.415
Andalucía: Costa de Almería;Bélgica;Junio;1.763
Andalucía: Costa de Almería;Bélgica;Julio;3.956
Andalucía: Costa de Almería;Bélgica;Agosto;2.166
Andalucía: Costa de Almería;Bélgica;Septiembre;1.762
Andalucía: Costa de Almería;Bélgica;Octubre;1.390
Andalucía: Costa de Almería;Bélgica;Noviembre;304
Andalucía: Costa de Almería;Bélgica;Diciembre;319
Andalucía: Costa de Almería;Dinamarca;Total;1.564
Andalucía: Costa de Almería;Dinamarca;Enero;115
Andalucía: Costa de Almería;Dinamarca;Febrero;56
Andalucía: Costa de Almería;Dinamarca;Marzo;101
Andalucía: Costa de Almería;Dinamarca;Abril;151
Andalucía: Costa de Almería;Dinamarca;Mayo;113
Andalucía: Costa de Almería;Dinamarca;Junio;67
Andalucía: Costa de Almería;Dinamarca;Julio;247
Andalucía: Costa de Almería;Dinamarca;Agosto;60
Andalucía: Costa de Almería;Dinamarca;Septiembre;102
Andalucía: Costa de Almería;Dinamarca;Octubre;79
Andalucía: Costa de Almería;Dinamarca;Noviembre;311
Andalucía: Costa de Almería;Dinamarca;Diciembre;162
Andalucía: Costa de Almería;Finlandia;Total;1.455
Andalucía: Costa de Almería;Finlandia;Enero;31
Andalucía: Costa de Almería;Finlandia;Febrero;116
Andalucía: Costa de Almería;Finlandia;Marzo;174
Andalucía: Costa de Almería;Finlandia;Abril;173
Andalucía: Costa de Almería;Finlandia;Mayo;81
Andalucía: Costa de Almería;Finlandia;Junio;103
Andalucía: Costa de Almería;Finlandia;Julio;45
Andalucía: Costa de Almería;Finlandia;Agosto;50
Andalucía: Costa de Almería;Finlandia;Septiembre;33
Andalucía: Costa de Almería;Finlandia;Octubre;196
Andalucía: Costa de Almería;Finlandia;Noviembre;236
Andalucía: Costa de Almería;Finlandia;Diciembre;219
Andalucía: Costa de Almería;Francia;Total;25.277
Andalucía: Costa de Almería;Francia;Enero;938
Andalucía: Costa de Almería;Francia;Febrero;1.233
Andalucía: Costa de Almería;Francia;Marzo;1.119
Andalucía: Costa de Almería;Francia;Abril;1.923
Andalucía: Costa de Almería;Francia;Mayo;2.153
Andalucía: Costa de Almería;Francia;Junio;1.806
Andalucía: Costa de Almería;Francia;Julio;3.866
Andalucía: Costa de Almería;Francia;Agosto;5.757
Andalucía: Costa de Almería;Francia;Septiembre;2.838
Andalucía: Costa de Almería;Francia;Octubre;2.029
Andalucía: Costa de Almería;Francia;Noviembre;777
Andalucía: Costa de Almería;Francia;Diciembre;838
Andalucía: Costa de Almería;Grecia;Total;356
Andalucía: Costa de Almería;Grecia;Enero;..
Andalucía: Costa de Almería;Grecia;Febrero;..
Andalucía: Costa de Almería;Grecia;Marzo;10
Andalucía: Costa de Almería;Grecia;Abril;..
Andalucía: Costa de Almería;Grecia;Mayo;122
Andalucía: Costa de Almería;Grecia;Junio;19
Andalucía: Costa de Almería;Grecia;Julio;47
Andalucía: Costa de Almería;Grecia;Agosto;69
Andalucía: Costa de Almería;Grecia;Septiembre;28
Andalucía: Costa de Almería;Grecia;Octubre;..
Andalucía: Costa de Almería;Grecia;Noviembre;21
Andalucía: Costa de Almería;Grecia;Diciembre;..
Andalucía: Costa de Almería;Irlanda;Total;5.384
Andalucía: Costa de Almería;Irlanda;Enero;89
Andalucía: Costa de Almería;Irlanda;Febrero;192
Andalucía: Costa de Almería;Irlanda;Marzo;229
Andalucía: Costa de Almería;Irlanda;Abril;359
Andalucía: Costa de Almería;Irlanda;Mayo;758
Andalucía: Costa de Almería;Irlanda;Junio;806
Andalucía: Costa de Almería;Irlanda;Julio;482
Andalucía: Costa de Almería;Irlanda;Agosto;564
Andalucía: Costa de Almería;Irlanda;Septiembre;824
Andalucía: Costa de Almería;Irlanda;Octubre;792
Andalucía: Costa de Almería;Irlanda;Noviembre;193
Andalucía: Costa de Almería;Irlanda;Diciembre;93
Andalucía: Costa de Almería;Italia;Total;11.624
Andalucía: Costa de Almería;Italia;Enero;342
Andalucía: Costa de Almería;Italia;Febrero;266
Andalucía: Costa de Almería;Italia;Marzo;480
Andalucía: Costa de Almería;Italia;Abril;740
Andalucía: Costa de Almería;Italia;Mayo;2.126
Andalucía: Costa de Almería;Italia;Junio;1.034
Andalucía: Costa de Almería;Italia;Julio;1.043
Andalucía: Costa de Almería;Italia;Agosto;1.960
Andalucía: Costa de Almería;Italia;Septiembre;1.214
Andalucía: Costa de Almería;Italia;Octubre;922
Andalucía: Costa de Almería;Italia;Noviembre;776
Andalucía: Costa de Almería;Italia;Diciembre;720
Andalucía: Costa de Almería;Luxemburgo;Total;920
Andalucía: Costa de Almería;Luxemburgo;Enero;..
Andalucía: Costa de Almería;Luxemburgo;Febrero;..
Andalucía: Costa de Almería;Luxemburgo;Marzo;..
Andalucía: Costa de Almería;Luxemburgo;Abril;79
Andalucía: Costa de Almería;Luxemburgo;Mayo;108
Andalucía: Costa de Almería;Luxemburgo;Junio;179
Andalucía: Costa de Almería;Luxemburgo;Julio;167
Andalucía: Costa de Almería;Luxemburgo;Agosto;243
Andalucía: Costa de Almería;Luxemburgo;Septiembre;79
Andalucía: Costa de Almería;Luxemburgo;Octubre;29
Andalucía: Costa de Almería;Luxemburgo;Noviembre;..
Andalucía: Costa de Almería;Luxemburgo;Diciembre;..
Andalucía: Costa de Almería;Países Bajos;Total;14.687
Andalucía: Costa de Almería;Países Bajos;Enero;381
Andalucía: Costa de Almería;Países Bajos;Febrero;406
Andalucía: Costa de Almería;Países Bajos;Marzo;637
Andalucía: Costa de Almería;Países Bajos;Abril;944
Andalucía: Costa de Almería;Países Bajos;Mayo;1.710
Andalucía: Costa de Almería;Países Bajos;Junio;1.866
Andalucía: Costa de Almería;Países Bajos;Julio;2.720
Andalucía: Costa de Almería;Países Bajos;Agosto;2.018
Andalucía: Costa de Almería;Países Bajos;Septiembre;1.916
Andalucía: Costa de Almería;Países Bajos;Octubre;1.356
Andalucía: Costa de Almería;Países Bajos;Noviembre;434
Andalucía: Costa de Almería;Países Bajos;Diciembre;298
Andalucía: Costa de Almería;Polonia;Total;6.974
Andalucía: Costa de Almería;Polonia;Enero;56
Andalucía: Costa de Almería;Polonia;Febrero;71
Andalucía: Costa de Almería;Polonia;Marzo;129
Andalucía: Costa de Almería;Polonia;Abril;325
Andalucía: Costa de Almería;Polonia;Mayo;388
Andalucía: Costa de Almería;Polonia;Junio;1.321
Andalucía: Costa de Almería;Polonia;Julio;870
Andalucía: Costa de Almería;Polonia;Agosto;1.166
Andalucía: Costa de Almería;Polonia;Septiembre;1.240
Andalucía: Costa de Almería;Polonia;Octubre;1.056
Andalucía: Costa de Almería;Polonia;Noviembre;234
Andalucía: Costa de Almería;Polonia;Diciembre;118
Andalucía: Costa de Almería;Portugal;Total;7.609
Andalucía: Costa de Almería;Portugal;Enero;83
Andalucía: Costa de Almería;Portugal;Febrero;133
Andalucía: Costa de Almería;Portugal;Marzo;118
Andalucía: Costa de Almería;Portugal;Abril;405
Andalucía: Costa de Almería;Portugal;Mayo;260
Andalucía: Costa de Almería;Portugal;Junio;965
Andalucía: Costa de Almería;Portugal;Julio;1.475
Andalucía: Costa de Almería;Portugal;Agosto;2.163
Andalucía: Costa de Almería;Portugal;Septiembre;1.320
Andalucía: Costa de Almería;Portugal;Octubre;332
Andalucía: Costa de Almería;Portugal;Noviembre;225
Andalucía: Costa de Almería;Portugal;Diciembre;130
Andalucía: Costa de Almería;República Checa;Total;6.079
Andalucía: Costa de Almería;República Checa;Enero;112
Andalucía: Costa de Almería;República Checa;Febrero;172
Andalucía: Costa de Almería;República Checa;Marzo;..
Andalucía: Costa de Almería;República Checa;Abril;.
Andalucía: Costa de Almería;República Checa;Mayo;145
Andalucía: Costa de Almería;República Checa;Junio;1.079
Andalucía: Costa de Almería;República Checa;Julio;1.487
Andalucía: Costa de Almería;República Checa;Agosto;1.812
Andalucía: Costa de Almería;República Checa;Septiembre;903
Andalucía: Costa de Almería;República Checa;Octubre;254
Andalucía: Costa de Almería;República Checa;Noviembre;22
Andalucía: Costa de Almería;República Checa;Diciembre;40
Andalucía: Costa de Almería;Suecia;Total;5.035
Andalucía: Costa de Almería;Suecia;Enero;182
Andalucía: Costa de Almería;Suecia;Febrero;479
Andalucía: Costa de Almería;Suecia;Marzo;680
Andalucía: Costa de Almería;Suecia;Abril;530
Andalucía: Costa de Almería;Suecia;Mayo;393
Andalucía: Costa de Almería;Suecia;Junio;173
Andalucía: Costa de Almería;Suecia;Julio;307
Andalucía: Costa de Almería;Suecia;Agosto;86
Andalucía: Costa de Almería;Suecia;Septiembre;269
Andalucía: Costa de Almería;Suecia;Octubre;868
Andalucía: Costa de Almería;Suecia;Noviembre;747
Andalucía: Costa de Almería;Suecia;Diciembre;322
Andalucía: Costa de Almería;Noruega;Total;2.080
Andalucía: Costa de Almería;Noruega;Enero;46
