User_ID;Age;Gender;Location;Education;Occupation;Usage_Frequency;Daily_Usage_Time;Reason_for_Using;Satisfaction
1;20;Non-binary;Bangalore;Undergraduate;Freelancer;Monthly;1;Finding a Partner;4
2;24;Female;Delhi;Undergraduate;Part-time Job;Weekly;0.5;Casual Dating;5
3;24;Non-binary;Kolkata;Undergraduate;Intern;Weekly;2;Casual Dating;4
4;22;Non-binary;Delhi;Graduate;Full-time Job;Daily;0.5;Casual Fun;3
5;18;Male;Delhi;Graduate;Intern;Weekly;2;Casual Fun;4
6;23;Female;Mumbai;Undergraduate;Student;Daily;1.5 ;Casual Dating;2
7;22;Non-binary;Chennai;Postgraduate;Part-time Job;Monthly;0.5;Finding a Partner;4
8;21;Female;Pune;Postgraduate;Freelancer;Weekly;1.5 ;Finding a Partner;2
9;20;Male;Pune;Postgraduate;Part-time Job;Daily;2;Finding a Partner;1
10;20;Non-binary;Chennai;Undergraduate;Intern;Weekly;3;Finding a Partner;1
11;18;Female;Hyderabad;Postgraduate;Full-time Job;Daily;1;Social Interaction;1
12;21;Male;Delhi;Undergraduate;Part-time Job;Monthly;3;Finding a Partner;1
13;22;Male;Bangalore;Undergraduate;Student;Monthly;1;Casual Dating;3
14;19;Non-binary;Bangalore;Undergraduate;Student;Daily;2;Social Interaction;1
15;22;Non-binary;Chennai;Graduate;Intern;Daily;1.5 ;Casual Fun;1
16;19;Female;Bangalore;Undergraduate;Freelancer;Daily;1.5 ;Casual Dating;5
17;22;Non-binary;Hyderabad;Graduate;Part-time Job;Monthly;1;Casual Fun;3
18;19;Non-binary;Hyderabad;Graduate;Student;Monthly;1;Finding a Partner;3
19;24;Male;Hyderabad;Graduate;Intern;Daily;0.5;Casual Dating;2
20;22;Non-binary;Pune;Undergraduate;Student;Weekly;1.5 ;Finding a Partner;1
21;22;Male;Mumbai;Postgraduate;Freelancer;Weekly;3;Social Interaction;1
22;25;Non-binary;Hyderabad;Undergraduate;Intern;Weekly;3;Finding a Partner;5
23;20;Female;Pune;Graduate;Full-time Job;Daily;3;Finding a Partner;4
24;18;Male;Delhi;Graduate;Freelancer;Weekly;2;Casual Dating;5
25;24;Male;Bangalore;Postgraduate;Full-time Job;Daily;2;Social Interaction;3
26;24;Male;Kolkata;Graduate;Full-time Job;Weekly;3;Social Interaction;2
27;21;Female;Delhi;Undergraduate;Student;Weekly;3;Casual Dating;5
28;23;Male;Kolkata;Undergraduate;Part-time Job;Weekly;2;Casual Fun;1
29;19;Female;Chennai;Undergraduate;Student;Weekly;3;Casual Dating;4
30;18;Male;Mumbai;Undergraduate;Freelancer;Daily;3;Finding a Partner;4
31;24;Non-binary;Bangalore;Graduate;Full-time Job;Weekly;0.5;Casual Dating;5
32;20;Male;Bangalore;Graduate;Full-time Job;Monthly;1;Finding a Partner;3
33;24;Female;Delhi;Graduate;Part-time Job;Weekly;0.5;Casual Dating;3
34;25;Male;Kolkata;Graduate;Full-time Job;Weekly;3;Finding a Partner;5
35;21;Female;Delhi;Graduate;Full-time Job;Daily;2;Casual Dating;3
36;22;Non-binary;Mumbai;Postgraduate;Part-time Job;Monthly;0.5;Finding a Partner;3
37;22;Female;Kolkata;Undergraduate;Intern;Monthly;1;Finding a Partner;3
38;20;Female;Mumbai;Undergraduate;Full-time Job;Daily;1.5 ;Finding a Partner;1
39;21;Male;Delhi;Postgraduate;Full-time Job;Daily;1;Casual Fun;1
40;18;Male;Kolkata;Graduate;Intern;Weekly;1;Social Interaction;5
41;24;Male;Bangalore;Undergraduate;Student;Daily;1.5 ;Finding a Partner;3
42;19;Female;Pune;Postgraduate;Part-time Job;Weekly;2;Casual Dating;2
43;19;Female;Bangalore;Graduate;Part-time Job;Weekly;2;Social Interaction;4
44;23;Female;Delhi;Postgraduate;Freelancer;Weekly;2;Casual Fun;5
45;21;Male;Delhi;Undergraduate;Student;Daily;1.5 ;Casual Dating;2
