Sexo;Isla;Edad;Periodo;Total
Ambos sexos;35 Palmas, Las;Total;2023;30.967
Ambos sexos;35 Palmas, Las;Total;2022;28.859
Ambos sexos;35 Palmas, Las;Total;2021;22.304
Ambos sexos;35 Palmas, Las;De 0 a 15 años;2023;4.609
Ambos sexos;35 Palmas, Las;De 0 a 15 años;2022;4.211
Ambos sexos;35 Palmas, Las;De 0 a 15 años;2021;2.887
Ambos sexos;35 Palmas, Las;De 16 a 24 años;2023;5.143
Ambos sexos;35 Palmas, Las;De 16 a 24 años;2022;4.799
Ambos sexos;35 Palmas, Las;De 16 a 24 años;2021;3.615
Ambos sexos;35 Palmas, Las;De 25 a 34 años;2023;6.396
Ambos sexos;35 Palmas, Las;De 25 a 34 años;2022;5.895
Ambos sexos;35 Palmas, Las;De 25 a 34 años;2021;4.260
Ambos sexos;35 Palmas, Las;De 35 a 44 años;2023;5.137
Ambos sexos;35 Palmas, Las;De 35 a 44 años;2022;4.830
Ambos sexos;35 Palmas, Las;De 35 a 44 años;2021;3.514
Ambos sexos;35 Palmas, Las;De 45 a 54 años;2023;4.148
Ambos sexos;35 Palmas, Las;De 45 a 54 años;2022;3.982
Ambos sexos;35 Palmas, Las;De 45 a 54 años;2021;3.165
Ambos sexos;35 Palmas, Las;De 55 a 64 años;2023;3.069
Ambos sexos;35 Palmas, Las;De 55 a 64 años;2022;2.905
Ambos sexos;35 Palmas, Las;De 55 a 64 años;2021;2.594
Ambos sexos;35 Palmas, Las;65 y más años;2023;2.465
Ambos sexos;35 Palmas, Las;65 y más años;2022;2.237
Ambos sexos;35 Palmas, Las;65 y más años;2021;2.269
Ambos sexos;Fuerteventura;Total;2023;6.240
Ambos sexos;Fuerteventura;Total;2022;6.434
Ambos sexos;Fuerteventura;Total;2021;4.585
Ambos sexos;Fuerteventura;De 0 a 15 años;2023;720
Ambos sexos;Fuerteventura;De 0 a 15 años;2022;730
Ambos sexos;Fuerteventura;De 0 a 15 años;2021;436
Ambos sexos;Fuerteventura;De 16 a 24 años;2023;991
Ambos sexos;Fuerteventura;De 16 a 24 años;2022;966
Ambos sexos;Fuerteventura;De 16 a 24 años;2021;605
Ambos sexos;Fuerteventura;De 25 a 34 años;2023;1.313
Ambos sexos;Fuerteventura;De 25 a 34 años;2022;1.370
Ambos sexos;Fuerteventura;De 25 a 34 años;2021;857
Ambos sexos;Fuerteventura;De 35 a 44 años;2023;1.042
Ambos sexos;Fuerteventura;De 35 a 44 años;2022;1.071
Ambos sexos;Fuerteventura;De 35 a 44 años;2021;729
Ambos sexos;Fuerteventura;De 45 a 54 años;2023;904
Ambos sexos;Fuerteventura;De 45 a 54 años;2022;948
Ambos sexos;Fuerteventura;De 45 a 54 años;2021;688
Ambos sexos;Fuerteventura;De 55 a 64 años;2023;715
Ambos sexos;Fuerteventura;De 55 a 64 años;2022;788
Ambos sexos;Fuerteventura;De 55 a 64 años;2021;654
Ambos sexos;Fuerteventura;65 y más años;2023;555
Ambos sexos;Fuerteventura;65 y más años;2022;561
Ambos sexos;Fuerteventura;65 y más años;2021;616
Ambos sexos;Gran Canaria;Total;2023;17.768
Ambos sexos;Gran Canaria;Total;2022;16.403
Ambos sexos;Gran Canaria;Total;2021;13.462
Ambos sexos;Gran Canaria;De 0 a 15 años;2023;2.928
Ambos sexos;Gran Canaria;De 0 a 15 años;2022;2.689
Ambos sexos;Gran Canaria;De 0 a 15 años;2021;1.988
Ambos sexos;Gran Canaria;De 16 a 24 años;2023;3.032
Ambos sexos;Gran Canaria;De 16 a 24 años;2022;2.899
Ambos sexos;Gran Canaria;De 16 a 24 años;2021;2.404
Ambos sexos;Gran Canaria;De 25 a 34 años;2023;3.520
Ambos sexos;Gran Canaria;De 25 a 34 años;2022;3.183
Ambos sexos;Gran Canaria;De 25 a 34 años;2021;2.665
Ambos sexos;Gran Canaria;De 35 a 44 años;2023;2.854
Ambos sexos;Gran Canaria;De 35 a 44 años;2022;2.720
Ambos sexos;Gran Canaria;De 35 a 44 años;2021;2.120
Ambos sexos;Gran Canaria;De 45 a 54 años;2023;2.304
Ambos sexos;Gran Canaria;De 45 a 54 años;2022;2.186
Ambos sexos;Gran Canaria;De 45 a 54 años;2021;1.811
Ambos sexos;Gran Canaria;De 55 a 64 años;2023;1.699
Ambos sexos;Gran Canaria;De 55 a 64 años;2022;1.529
Ambos sexos;Gran Canaria;De 55 a 64 años;2021;1.377
Ambos sexos;Gran Canaria;65 y más años;2023;1.431
Ambos sexos;Gran Canaria;65 y más años;2022;1.197
Ambos sexos;Gran Canaria;65 y más años;2021;1.097
Ambos sexos;Lanzarote;Total;2023;6.959
Ambos sexos;Lanzarote;Total;2022;6.022
Ambos sexos;Lanzarote;Total;2021;4.257
Ambos sexos;Lanzarote;De 0 a 15 años;2023;961
Ambos sexos;Lanzarote;De 0 a 15 años;2022;792
Ambos sexos;Lanzarote;De 0 a 15 años;2021;463
Ambos sexos;Lanzarote;De 16 a 24 años;2023;1.120
Ambos sexos;Lanzarote;De 16 a 24 años;2022;934
Ambos sexos;Lanzarote;De 16 a 24 años;2021;606
Ambos sexos;Lanzarote;De 25 a 34 años;2023;1.563
Ambos sexos;Lanzarote;De 25 a 34 años;2022;1.342
Ambos sexos;Lanzarote;De 25 a 34 años;2021;738
Ambos sexos;Lanzarote;De 35 a 44 años;2023;1.241
Ambos sexos;Lanzarote;De 35 a 44 años;2022;1.039
Ambos sexos;Lanzarote;De 35 a 44 años;2021;665
Ambos sexos;Lanzarote;De 45 a 54 años;2023;940
Ambos sexos;Lanzarote;De 45 a 54 años;2022;848
Ambos sexos;Lanzarote;De 45 a 54 años;2021;666
Ambos sexos;Lanzarote;De 55 a 64 años;2023;655
Ambos sexos;Lanzarote;De 55 a 64 años;2022;588
Ambos sexos;Lanzarote;De 55 a 64 años;2021;563
Ambos sexos;Lanzarote;65 y más años;2023;479
Ambos sexos;Lanzarote;65 y más años;2022;479
Ambos sexos;Lanzarote;65 y más años;2021;556
Ambos sexos;38 Santa Cruz de Tenerife;Total;2023;32.620
Ambos sexos;38 Santa Cruz de Tenerife;Total;2022;32.886
Ambos sexos;38 Santa Cruz de Tenerife;Total;2021;24.657
Ambos sexos;38 Santa Cruz de Tenerife;De 0 a 15 años;2023;4.780
Ambos sexos;38 Santa Cruz de Tenerife;De 0 a 15 años;2022;4.823
Ambos sexos;38 Santa Cruz de Tenerife;De 0 a 15 años;2021;3.010
Ambos sexos;38 Santa Cruz de Tenerife;De 16 a 24 años;2023;4.818
Ambos sexos;38 Santa Cruz de Tenerife;De 16 a 24 años;2022;4.678
Ambos sexos;38 Santa Cruz de Tenerife;De 16 a 24 años;2021;3.371
Ambos sexos;38 Santa Cruz de Tenerife;De 25 a 34 años;2023;6.280
Ambos sexos;38 Santa Cruz de Tenerife;De 25 a 34 años;2022;6.306
Ambos sexos;38 Santa Cruz de Tenerife;De 25 a 34 años;2021;4.506
Ambos sexos;38 Santa Cruz de Tenerife;De 35 a 44 años;2023;5.559
Ambos sexos;38 Santa Cruz de Tenerife;De 35 a 44 años;2022;5.608
Ambos sexos;38 Santa Cruz de Tenerife;De 35 a 44 años;2021;3.765
Ambos sexos;38 Santa Cruz de Tenerife;De 45 a 54 años;2023;4.620
Ambos sexos;38 Santa Cruz de Tenerife;De 45 a 54 años;2022;4.645
Ambos sexos;38 Santa Cruz de Tenerife;De 45 a 54 años;2021;3.471
Ambos sexos;38 Santa Cruz de Tenerife;De 55 a 64 años;2023;3.556
Ambos sexos;38 Santa Cruz de Tenerife;De 55 a 64 años;2022;3.694
Ambos sexos;38 Santa Cruz de Tenerife;De 55 a 64 años;2021;3.144
Ambos sexos;38 Santa Cruz de Tenerife;65 y más años;2023;3.007
Ambos sexos;38 Santa Cruz de Tenerife;65 y más años;2022;3.132
Ambos sexos;38 Santa Cruz de Tenerife;65 y más años;2021;3.390
Ambos sexos;Gomera, La;Total;2023;756
Ambos sexos;Gomera, La;Total;2022;711
Ambos sexos;Gomera, La;Total;2021;554
Ambos sexos;Gomera, La;De 0 a 15 años;2023;108
Ambos sexos;Gomera, La;De 0 a 15 años;2022;97
Ambos sexos;Gomera, La;De 0 a 15 años;2021;85
Ambos sexos;Gomera, La;De 16 a 24 años;2023;98
Ambos sexos;Gomera, La;De 16 a 24 años;2022;83
