Islas;Nivel educativo;Sexo;Ocupación;Nacionalidad;Periodo;Total
Formentera;Total;Total;Total;Total;2022;4.331
Formentera;Total;Total;Total;Total;2021;4.246
Formentera;Total;Total;Total;Española;2022;3.424
Formentera;Total;Total;Total;Española;2021;3.415
Formentera;Total;Total;Total;Extranjera;2022;907
Formentera;Total;Total;Total;Extranjera;2021;831
Formentera;Total;Total;1 Directores y gerentes;Total;2022;290
Formentera;Total;Total;1 Directores y gerentes;Total;2021;286
Formentera;Total;Total;1 Directores y gerentes;Española;2022;266
Formentera;Total;Total;1 Directores y gerentes;Española;2021;262
Formentera;Total;Total;1 Directores y gerentes;Extranjera;2022;24
Formentera;Total;Total;1 Directores y gerentes;Extranjera;2021;24
Formentera;Total;Total;2 Técnicos y profesionales científicos e intelectuales;Total;2022;732
Formentera;Total;Total;2 Técnicos y profesionales científicos e intelectuales;Total;2021;670
Formentera;Total;Total;2 Técnicos y profesionales científicos e intelectuales;Española;2022;698
Formentera;Total;Total;2 Técnicos y profesionales científicos e intelectuales;Española;2021;648
Formentera;Total;Total;2 Técnicos y profesionales científicos e intelectuales;Extranjera;2022;34
Formentera;Total;Total;2 Técnicos y profesionales científicos e intelectuales;Extranjera;2021;22
Formentera;Total;Total;3 Técnicos, profesionales de apoyo;Total;2022;427
Formentera;Total;Total;3 Técnicos, profesionales de apoyo;Total;2021;427
Formentera;Total;Total;3 Técnicos, profesionales de apoyo;Española;2022;351
Formentera;Total;Total;3 Técnicos, profesionales de apoyo;Española;2021;363
Formentera;Total;Total;3 Técnicos, profesionales de apoyo;Extranjera;2022;76
Formentera;Total;Total;3 Técnicos, profesionales de apoyo;Extranjera;2021;64
Formentera;Total;Total;4 Empleados contables, administrativos y otros empleados de oficina;Total;2022;375
Formentera;Total;Total;4 Empleados contables, administrativos y otros empleados de oficina;Total;2021;355
Formentera;Total;Total;4 Empleados contables, administrativos y otros empleados de oficina;Española;2022;317
Formentera;Total;Total;4 Empleados contables, administrativos y otros empleados de oficina;Española;2021;312
Formentera;Total;Total;4 Empleados contables, administrativos y otros empleados de oficina;Extranjera;2022;58
Formentera;Total;Total;4 Empleados contables, administrativos y otros empleados de oficina;Extranjera;2021;43
Formentera;Total;Total;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Total;2022;1.111
Formentera;Total;Total;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Total;2021;1.127
Formentera;Total;Total;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Española;2022;851
Formentera;Total;Total;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Española;2021;853
Formentera;Total;Total;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Extranjera;2022;260
Formentera;Total;Total;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Extranjera;2021;274
Formentera;Total;Total;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Total;2022;69
Formentera;Total;Total;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Total;2021;75
Formentera;Total;Total;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Española;2022;53
Formentera;Total;Total;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Española;2021;57
Formentera;Total;Total;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Extranjera;2022;16
Formentera;Total;Total;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Extranjera;2021;18
Formentera;Total;Total;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Total;2022;539
Formentera;Total;Total;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Total;2021;558
Formentera;Total;Total;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Española;2022;359
Formentera;Total;Total;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Española;2021;392
Formentera;Total;Total;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Extranjera;2022;180
Formentera;Total;Total;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Extranjera;2021;166
Formentera;Total;Total;8 Operadores de instalaciones y maquinaria, y montadores;Total;2022;206
Formentera;Total;Total;8 Operadores de instalaciones y maquinaria, y montadores;Total;2021;210
Formentera;Total;Total;8 Operadores de instalaciones y maquinaria, y montadores;Española;2022;174
Formentera;Total;Total;8 Operadores de instalaciones y maquinaria, y montadores;Española;2021;176
Formentera;Total;Total;8 Operadores de instalaciones y maquinaria, y montadores;Extranjera;2022;32
Formentera;Total;Total;8 Operadores de instalaciones y maquinaria, y montadores;Extranjera;2021;34
Formentera;Total;Total;9 Ocupaciones elementales;Total;2022;378
Formentera;Total;Total;9 Ocupaciones elementales;Total;2021;394
Formentera;Total;Total;9 Ocupaciones elementales;Española;2022;200
Formentera;Total;Total;9 Ocupaciones elementales;Española;2021;231
Formentera;Total;Total;9 Ocupaciones elementales;Extranjera;2022;178
Formentera;Total;Total;9 Ocupaciones elementales;Extranjera;2021;163
Formentera;Total;Total;No consta;Total;2022;204
Formentera;Total;Total;No consta;Total;2021;144
Formentera;Total;Total;No consta;Española;2022;155
Formentera;Total;Total;No consta;Española;2021;121
Formentera;Total;Total;No consta;Extranjera;2022;49
Formentera;Total;Total;No consta;Extranjera;2021;23
Formentera;Total;Hombres;Total;Total;2022;2.491
Formentera;Total;Hombres;Total;Total;2021;2.470
Formentera;Total;Hombres;Total;Española;2022;1.905
Formentera;Total;Hombres;Total;Española;2021;1.916
Formentera;Total;Hombres;Total;Extranjera;2022;586
Formentera;Total;Hombres;Total;Extranjera;2021;554
Formentera;Total;Hombres;1 Directores y gerentes;Total;2022;200
Formentera;Total;Hombres;1 Directores y gerentes;Total;2021;198
Formentera;Total;Hombres;1 Directores y gerentes;Española;2022;181
Formentera;Total;Hombres;1 Directores y gerentes;Española;2021;181
Formentera;Total;Hombres;1 Directores y gerentes;Extranjera;2022;19
Formentera;Total;Hombres;1 Directores y gerentes;Extranjera;2021;17
Formentera;Total;Hombres;2 Técnicos y profesionales científicos e intelectuales;Total;2022;318
Formentera;Total;Hombres;2 Técnicos y profesionales científicos e intelectuales;Total;2021;294
Formentera;Total;Hombres;2 Técnicos y profesionales científicos e intelectuales;Española;2022;303
Formentera;Total;Hombres;2 Técnicos y profesionales científicos e intelectuales;Española;2021;286
Formentera;Total;Hombres;2 Técnicos y profesionales científicos e intelectuales;Extranjera;2022;15
Formentera;Total;Hombres;2 Técnicos y profesionales científicos e intelectuales;Extranjera;2021;8
Formentera;Total;Hombres;3 Técnicos, profesionales de apoyo;Total;2022;264
Formentera;Total;Hombres;3 Técnicos, profesionales de apoyo;Total;2021;265
Formentera;Total;Hombres;3 Técnicos, profesionales de apoyo;Española;2022;214
Formentera;Total;Hombres;3 Técnicos, profesionales de apoyo;Española;2021;223
Formentera;Total;Hombres;3 Técnicos, profesionales de apoyo;Extranjera;2022;50
Formentera;Total;Hombres;3 Técnicos, profesionales de apoyo;Extranjera;2021;42
Formentera;Total;Hombres;4 Empleados contables, administrativos y otros empleados de oficina;Total;2022;119
Formentera;Total;Hombres;4 Empleados contables, administrativos y otros empleados de oficina;Total;2021;102
Formentera;Total;Hombres;4 Empleados contables, administrativos y otros empleados de oficina;Española;2022;99
Formentera;Total;Hombres;4 Empleados contables, administrativos y otros empleados de oficina;Española;2021;84
Formentera;Total;Hombres;4 Empleados contables, administrativos y otros empleados de oficina;Extranjera;2022;20
Formentera;Total;Hombres;4 Empleados contables, administrativos y otros empleados de oficina;Extranjera;2021;18
Formentera;Total;Hombres;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Total;2022;522
Formentera;Total;Hombres;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Total;2021;538
Formentera;Total;Hombres;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Española;2022;389
Formentera;Total;Hombres;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Española;2021;384
Formentera;Total;Hombres;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Extranjera;2022;133
Formentera;Total;Hombres;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Extranjera;2021;154
Formentera;Total;Hombres;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Total;2022;61
Formentera;Total;Hombres;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Total;2021;67
Formentera;Total;Hombres;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Española;2022;47
Formentera;Total;Hombres;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Española;2021;51
Formentera;Total;Hombres;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Extranjera;2022;14
Formentera;Total;Hombres;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Extranjera;2021;16
Formentera;Total;Hombres;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Total;2022;493
Formentera;Total;Hombres;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Total;2021;509
Formentera;Total;Hombres;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Española;2022;320
Formentera;Total;Hombres;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Española;2021;349
Formentera;Total;Hombres;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Extranjera;2022;173
Formentera;Total;Hombres;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Extranjera;2021;160
Formentera;Total;Hombres;8 Operadores de instalaciones y maquinaria, y montadores;Total;2022;181
Formentera;Total;Hombres;8 Operadores de instalaciones y maquinaria, y montadores;Total;2021;186
Formentera;Total;Hombres;8 Operadores de instalaciones y maquinaria, y montadores;Española;2022;151
Formentera;Total;Hombres;8 Operadores de instalaciones y maquinaria, y montadores;Española;2021;154
Formentera;Total;Hombres;8 Operadores de instalaciones y maquinaria, y montadores;Extranjera;2022;30
Formentera;Total;Hombres;8 Operadores de instalaciones y maquinaria, y montadores;Extranjera;2021;32
Formentera;Total;Hombres;9 Ocupaciones elementales;Total;2022;217
Formentera;Total;Hombres;9 Ocupaciones elementales;Total;2021;222
Formentera;Total;Hombres;9 Ocupaciones elementales;Española;2022;118
Formentera;Total;Hombres;9 Ocupaciones elementales;Española;2021;132
Formentera;Total;Hombres;9 Ocupaciones elementales;Extranjera;2022;99
Formentera;Total;Hombres;9 Ocupaciones elementales;Extranjera;2021;90
Formentera;Total;Hombres;No consta;Total;2022;116
Formentera;Total;Hombres;No consta;Total;2021;89
Formentera;Total;Hombres;No consta;Española;2022;83
Formentera;Total;Hombres;No consta;Española;2021;72
Formentera;Total;Hombres;No consta;Extranjera;2022;33
Formentera;Total;Hombres;No consta;Extranjera;2021;17
Formentera;Total;Mujeres;Total;Total;2022;1.840
Formentera;Total;Mujeres;Total;Total;2021;1.776
Formentera;Total;Mujeres;Total;Española;2022;1.519
Formentera;Total;Mujeres;Total;Española;2021;1.499
Formentera;Total;Mujeres;Total;Extranjera;2022;321
Formentera;Total;Mujeres;Total;Extranjera;2021;277
Formentera;Total;Mujeres;1 Directores y gerentes;Total;2022;90
Formentera;Total;Mujeres;1 Directores y gerentes;Total;2021;88
Formentera;Total;Mujeres;1 Directores y gerentes;Española;2022;85
Formentera;Total;Mujeres;1 Directores y gerentes;Española;2021;81
Formentera;Total;Mujeres;1 Directores y gerentes;Extranjera;2022;5
Formentera;Total;Mujeres;1 Directores y gerentes;Extranjera;2021;7
Formentera;Total;Mujeres;2 Técnicos y profesionales científicos e intelectuales;Total;2022;414
Formentera;Total;Mujeres;2 Técnicos y profesionales científicos e intelectuales;Total;2021;376
Formentera;Total;Mujeres;2 Técnicos y profesionales científicos e intelectuales;Española;2022;395
Formentera;Total;Mujeres;2 Técnicos y profesionales científicos e intelectuales;Española;2021;362
Formentera;Total;Mujeres;2 Técnicos y profesionales científicos e intelectuales;Extranjera;2022;19
Formentera;Total;Mujeres;2 Técnicos y profesionales científicos e intelectuales;Extranjera;2021;14
Formentera;Total;Mujeres;3 Técnicos, profesionales de apoyo;Total;2022;163
